fnde_raw;ipea_raw
a;a
abacaxiidade;abacaxi 
abiu;abiu
aboboraacada;abobora
aboboraascada;abobora
aboboraascadaada;abobora
aboboraascadas;abobora
aboboracabotia;abobora
aboborakabotia;abobora
aboborapaulista;abobora
abrobinhaada;abobrinha
ac;ac
acc;acc
acelgaidade;acelga
agholine;macarrao
agnoline;macarrao
agnolines;macarrao
agnolini;macarrao
agroin;agroin
agroind;agroind
agua;agua
aipimascado;aipim
aipimascao;aipim
aipo;aipo
alecrim;alecrim
aletria;massa
alfaceidade;alface
alhoado;alho
alhoascado;alho
alimento;alimento
almondega;preparacao
amendoimascado;amendoim
amendoinascado;amendoim
amido;amido
apresuntado;embutido
aquisicao;aquisicao
arraia;peixe
atum;peixe
azedinha;azedinha
bacaxiaudo;abacaxi 
bacon;carne
bala;doce
baleeira;baleeira
bana;banana
banaba;banana
bananada;doce
bananananica;banana
bandeja;ovo
banjeda;ovo
baroa;batata
baru;baru
bata;batata
bataba;batata
beb;bebida
bebida;bebida
beijuzinho;beiju
beliscao;beliscao
bella;lentilha
bife;carne
biomassa;biomassa
bisc;biscoito
bisnaga;pao
bisto;biscoito
blos;bolo
bolachaalfajor;bolacha
bombocado;doce
br;br
brasileira;brasileira
brigadeiro;doce
broto;broto
buque;buque
c;c
cabocha;abobora
cabotia;abobora
cabotian;abobora
cabutia;abobora
caixa;caixa
cajazinha;caja 
cajuina;bebida
cambotian;abobora
camomila;camomila
canela;canela
capeletti;macarrao
casadinho;doce
cebolete;cebolinha
cebolinhaidade;cebolinha
celeia;doce 
cereais;cereal
cereal;cereal
cha;cha
chas;cha
cheiro;cheiroverde
cheiroverdeorganico;cheiroverde
cheiuro;cheiroverde
chero;chero
chimango;biscoito
chimia;doce
chineque;rosca
chipa;biscoito
chipsmandioca;biscoito
chiringa;biscoito
chiro;cheiroverde
chocolate;chocolate
chocolateanulado;chocolate
chu;chuchu
cjeiro;cheiroverde
clorifico;colorifico
cn;cn
coalhada;coalhada
cocoidade;coco
coen;coentro
coentroidade;coentro
colorifero;colorifico
colorifico;colorifico
colorificosul;colorifico
cominho;cominho
cominho+;cominho
complemento;complemento
composto;composto
compota;conserva
concentrado;concentrado
condimento;tempero
condimentos;tempero
conserva;conserva
conservas;conserva
coopervita;coopervita
corante;corante
corte;carne
cortecong;carne
costela;carne
coveada;couve
coxa;frango
cravo;cravo
cubos;cubos
cubose;cubos
cuca;bolo
cucas;bolo
cueca;doce
cupcake;bolo
cuquinhas;bolo
curau;doce
cuxa;frango
de;de
disco;salgado
empadinha;salgado
endro;endro
enroladim;salgado
enroladinho;salgado
entregasca;entregasca
escarolaidade;escarola
esfiha;salgado
esfinha;salgado
esfira;salgado
esfirra;salgado
esfirras;salgado
espiga;milho
essencia;essencia
feij;feijao
feixe;feixe
fermento;fermento
fibra;fibra
fibras;fibra
figado;carne
file;carne
files;carne
folha;folha
folhas;folha
fortifrutuculas;hortigranjeiros
frago;frango 
franco;frango
frango;frango
frangoado;frango
fruto;fruto
frutos;fruto
galinha;frango
garrafa;suco
geladinho;geladinho
gelado;geladinho
gelatina;doce
geleia;doce
geleias;doce
gelia;doce
geremun;abobora
goiabada;doce
goma;tapioca
grango;frango
grao;grao
grostole;doce
grostoli;doce
guandu;guandu
guisado;guisado
hortifruticola;hortigranjeiros
hortifruticolas;hortigranjeiros
hortifruticulas;hortigranjeiros
hortifrutigrangeiros;hortigranjeiros
hortifrutigranjeiro;hortigranjeiros
hortifrutigranjeiros;hortigranjeiros
iame;inhame
id;id
inglesa;batata
iog;iogurte
iogurtemorango;iogurte
iogurtesabores;iogurte
iogurtesalada;iogurte
isca;carne
iscas;carne
jamelao;jamelao
joao;jongome
jon;jongome
kabotia;abobora
kg;kg
kit;kit
lanches;lanche
laranjaidade;laranja
legumes;legume
lentilha;lentilha
limaotaiti;limao
linguica;embutido
linguicinha;embutido
lombo;carne
longuica;embutido
luinguica;embutido
ma;ma
macacheiraascada;mandioca
macaxeiraascada;mandioca
macaxeiramandioca;mandioca
machiche;maxixe
maco;maco
magas;manga
maizena;maisena
mamaoformosa;mamao
mamaoidade;mamao
mamoes;mamao
mandiocaacada;mandioca
mandiocaasacada;mandioca
mandiocaascad;mandioca
mandiocaaudaascada;mandioca
mandiocadescascada;mandioca
mandiocamacaxeira;mandioca
mandiocapicemb;mandioca
mandioncaascada;mandioca
mandioquinha;batata
manjerona;manjerona
mapati;mapati
maracujina;maracugina
margarina;margarina
marmelada;doce
me;me
melaco;doce
melacos;doce
melanciaidade;melancia
melissa;melissa
melpuro;mel
melsilvestre;mel
mentira;mentira
merenda;merenda
mimosa;mimosa
mini;mini
misto;misto
mistura;preparacao
miudo;carne
moela;carne
moida;carne
molusculo;carne
monte;monte
moraga;abobora
morgota;mexerica
morgote;mexerica
mortadela;embutido
mucarela;queijo
mudas;mudas
murcota;mexerica
murcote;mexerica
musculo;carne
mussarela;queijo
mussarelaande;queijo
n;n
nectar;nectar
nhoque;massa
nozes;noz
nozinho;noz
ora;orapronobis
orelha;doce
ostoli;ostoli
ovosanja;ovo
ovosidade;ovo
p;p 
pa;pa
pae;pao
paes;pao
paezinhos;pao
paletaossa;carne
palito;palito
palma;palma 
panc;panc
pancs;panc
panetone;panetone
paozinho;pao
papinha;papinha
paprica;paprica
pastel;pastel
pedacos;pedacos
peito;carne
pene;macarrao
pernil;carne
phisallys;phisallys
picado;carne
picles;conserva
picole;picole
pimentaoidade;pimentao
pimentoes;pimentao
pinho;pinho
pipoca;pipica
pirarucu;peixe
pirogue;pirogue
pitaia;pitaia
pitaya;pitaia
pizza;pizza
po;po
poca;poca
poejo;poejo
polenta;polenta
polpaaviola;polpa
ponca;pokan
popa;polpa
porco;carne
posta;peixe
pote;doce
pouca;pokan
presunto;embutido
proteina;proteina
pudim;doce
pupunha;palmito
queijada;doce
queijadinha;doce
quijada;doce
quinoa;quinoa
quirera;quirera
quirerinha;quirera
quirrera;quirera
quitanda;quitanda
radiche;radite
raiz;mandioca
rapaduraanulada;rapadura
rapadurinhaproduto;rapadura
raspa;mandioca
ravioli;massa
refrigerante;refrigerante
repolhoidade;repolho
req;req
ricota;queijo
rosquinha;rosca
ruculaidade;rucula
rxx;rxx
sache;mel
saches;mel
sacolao;sacolao
sacos;sacos 
sagu;doce
sal;sal
salame;embutido
salvia;salvia
sanduiche;sanduiche
sardinha;peixe
saroio;beiju
sarolho;beiju
schimier;doce
schmier;doce
seleta;seleta
sequilho;biscoito
sequilhos;biscoito
sequilhosid;biscoito
sequilos;biscoito
sequinhos;biscoito
sobre;frango
sobrecoxa;frango
sonho;doce
sua;sua
t;t
tabuleiro;tabuleiro
talharim;macarrao
tambaqui;peixe
tang;tang
tangerinaidade;tangerina
tanja;tanja
tapereba;caja
tapiocaanulada;tapioca
tareco;tareco
tatarca;tatarca
tche;tche
temp;tempero
tilapia;peixe
tomatecolorido;tomate
tomatinho;tomate
tortei;tortei
tozzo;tozzo
un;um
uvakg;uva
vagempicada;vagem
vassoura;vassoura
verdura;verdura
verduras;verdura
vinho;vinho
vos;ovo
vs;vs
xero;cheiroverde
xodozinho;xodozinho
xuxu;chuchu
